"","d_sm","h_m","volume_m3"
"1",50.5,26,1.80400722144638
"2",49,28,2.46926990002285
"3",43.5,28,1.75972058250781
"4",33.5,25,0.803828513049274
"5",32,26,0.903100550158068
"6",43.5,24.5,1.96829124602887
"7",38,29,1.67754371817306
"8",34,26,1.08381804956194
"9",45,26,2.26155924749071
"10",28.5,21.5,0.715530124529315
"11",34,22,1.05346371954357
"12",42,23.5,1.69397032076052
"13",37,21,1.06998260641523
"14",36,22,0.970215441214258
"15",49,25,2.2722838594119
"16",29,22,0.694658495586263
"17",28,20.5,0.642336578937664
"18",41,20.5,1.04234771753762
"19",27,19,0.443678294737148
"20",25,21,0.533277498965233
"21",29,22,0.770946837190935
"22",31,23,0.811665804972276
"23",42.6,26,1.59388619504074
"24",61,25.6,3.25347949419969
"25",32,24.5,0.920068881128729
"26",41.4,25,1.64754747735732
"27",48,21.6,1.81464792666378
"28",39.6,27,1.64768747457995
"29",43.5,24,1.53289530217398
"30",32.5,28,1.20235590361888
"31",34,27.5,1.36408705692109
"32",42,27.5,1.61196820751713
"33",43.5,24.5,1.62857806967605
"34",61.2,27,2.83956767204558
"35",57.5,30,3.5126340536836
"36",32.1,25.4,1.07948724627924
"37",37,23.8,1.31424405322571
"38",29.5,20.2,0.719280400759538
"39",29.8,25.8,1.04580731790757
"40",32.2,24.7,0.996408456873594
"41",38,22.8,1.27872311228912
"42",36.1,20.7,0.915227503589976
